season_name,location,count,sd,reference
1996/97,STI,3326,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
1997/98,CS,4943,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
1997/98,STI,2808,,"Torres, D., Vallejos, V., Acevedo, J., Hucke-Gaete, R., & Zarate, S. (1998). Registros biológicos atípicos en cabo Shirreff, isla Livingston, Antártica. Boletin Antarctico Chileno, 17, 17-19. http://antarticarepositorio.umag.cl/handle/20.500.11894/271"
1998/99,CS,5497,,"Hucke-Gaete, R. (1999). Dinámica poblacional del lobo fino Antártico (Arctocephalus gazella (Peters, 1875)) en el Sitio de Especial Interés Cientifico no. 32, Isla Livingston, Shetland del Sur, Antártica: 1957–1999 Universidad Austral de Chile."
1999/00,CS,5865,,"Vallejos, V., Acevedo, J., Blank, O., Osman, L., & Torres, D. (2000). Ecología del lobo fino antártico, Arctocephalus gazella. Informe de terreno ECA XXXVI, Proyecto 018-Instituto  Antártico  Chileno, 70."
1999/00,STI,2699,,"Vallejos, V., Acevedo, J., Blank, O., Osman, L., & Torres, D. (2000). Ecología del lobo fino antártico, Arctocephalus gazella. Informe de terreno ECA XXXVI, Proyecto 018-Instituto  Antártico  Chileno, 70."
2000/01,CS,5951,,"Hucke-Gaete, R., Acevedo, J., Osman, L., Vargas, R., Blank, O., & Torres, D. (2001). Estudios ecológicos sobre el lobo fino antártico, Arctocephalus gazella, cabo Shirreff, isla Livingston, Shetland del Sur, Antártica. Informe científico. ECA XXXVII, Proyecto-018 Instituto Antártico Chileno."
2000/01,STI,2328,,"Hucke-Gaete, R., Acevedo, J., Osman, L., Vargas, R., Blank, O., & Torres, D. (2001). Estudios ecológicos sobre el lobo fino antártico, Arctocephalus gazella, cabo Shirreff, isla Livingston, Shetland del Sur, Antártica. Informe científico. ECA XXXVII, Proyecto-018 Instituto Antártico Chileno."
2001/02,CS,6453,,"Goebel, M. E., Vallejos, V. I., Trivelpiece, W. Z., Holt, R. S., & Acevedo, J. (2003). Antarctic fur seal pup production. In J. D. Lipsky (Ed.), AMLR 2001/02 Field Season Report. NOAA Technical Memo-NMFS-SWFSC-350 (pp. 139-152). SWFSC/NMFS/NOAA."
2001/02,SSI,10057,,"Goebel, M. E., Vallejos, V. I., Trivelpiece, W. Z., Holt, R. S., & Acevedo, J. (2003). Antarctic fur seal pup production. In J. D. Lipsky (Ed.), AMLR 2001/02 Field Season Report. NOAA Technical Memo-NMFS-SWFSC-350 (pp. 139-152). SWFSC/NMFS/NOAA."
2001/02,STI,2124,,"Goebel, M. E., Vallejos, V. I., Trivelpiece, W. Z., Holt, R. S., & Acevedo, J. (2003). Antarctic fur seal pup production. In J. D. Lipsky (Ed.), AMLR 2001/02 Field Season Report. NOAA Technical Memo-NMFS-SWFSC-350 (pp. 139-152). SWFSC/NMFS/NOAA."
2002/03,CS,5845,,"Vallejos, V., Vargas, R., Osman, L. P., Vera, C., & Torres, D. (2003). Probables repercusiones de las condiciones ambientales registradas en la temporada 2002/2003 sobre la población del lobo fino antártico, Arctocephalus gazella, en cabo Shirreff. Boletin Antarctico Chileno, 22, 17-19."
2003/04,CS,6428,,"Vargas, R., Vera, C., Valdenegro, V., Torres, D., & Torres, D. (2004). Estudios ecológicos sobre el lobo fino antártico, Arctocephalus gazella, cabo Shirreff, isla Livingston, Shetland del Sur, Antártica. Informe Científico ECA XL Proyecto 018, Instituto Antártico Chileno 90."
2004/05,CS,6032,,"Torres Castillo, D., & Bello, M. (2005). Avances las investigaciones sobre mortalidad por enfermedades en cachorros de lobo fino Antardico, Arctocephalus gazella, en Cabo Shirreff, Isla Livingston. Boletin Antarctico Chileno, 24(1), 26-29."
2005/06,CS,5791,,"Vargas, R., Vera, C., Torres, D., Henríquez, G., & Torres, D. (2006). Estudios ecológicos sobre el lobo fino antártico, Arctocephalus gazella, cabo Shirreff, isla Livingston, Shetland del Sur, Antártica. Informe Científico ECA XLII Proyecto INACH 018, Instituto Antártico Chileno, 100."
2006/07,CS,6119,,"Vargas, R., Torres, D., Henríquez, G., Diedrich, C., & Torres, D. (2007). Estudios ecológicos sobre el lobo fino antártico, Arctocephalus gazella, cabo Shirreff, isla Livingston, Shetland del Sur, Antártica. Informe Científico ECA XLIII Proyecto 018, Instituto Antártico Chileno 85."
2007/08,CS,4574,,"Goebel, M., McDonald, B., Freeman, S., Haner, R., Spear, N., & Sexton, S. (2008). Pinniped research at Cape Shirreff, Livingston Island, Antarctica. In A. Van Cise (Ed.), AMLR 2007/08 Field Season Report. NOAA-TM-NMFS-SWFSC-427."
2007/08,SSI,7602,,"Goebel, M., McDonald, B., Freeman, S., Haner, R., Spear, N., & Sexton, S. (2008). Pinniped research at Cape Shirreff, Livingston Island, Antarctica. In A. Van Cise (Ed.), AMLR 2007/08 Field Season Report. NOAA-TM-NMFS-SWFSC-427."
2007/08,STI,1525,,"Goebel, M., McDonald, B., Freeman, S., Haner, R., Spear, N., & Sexton, S. (2008). Pinniped research at Cape Shirreff, Livingston Island, Antarctica. In A. Van Cise (Ed.), AMLR 2007/08 Field Season Report. NOAA-TM-NMFS-SWFSC-427."
2008/09,CS,4603,,
2009/10,CS,4009,,
2010/11,CS,3677,,
2011/12,CS,3328,110.3,
2012/13,CS,2796,32.09,
2013/14,CS,2306,16.27,
2014/15,CS,2130,24.64,
2015/16,CS,1681,15.51,
2016/17,CS,1545,11.18,
2017/18,CS,1267,17.25,
2018/19,CS,1064,15.26,
2018/19,STI,333,,"Krause, D. J., & Hinke, J. T. (2021). Finally within reach: a drone census of an important, but practically inaccessible, Antarctic fur seal colony. Aquatic Mammals, 47(4), 349-354. https://doi.org/10.1578/AM.47.4.2021.349"
2019/20,CS,860,7.59,
2021/22,CS,537,3.28,
2022/23,CS,498,4.1,
2022/23,STI,66,,
2023/24,CS,410,3.74,
